POSTE;NOM;LON;LAT;ALT;DATE;RR;QRR;TN;QTN;TX;QTX;TM;QTM;FFM;QFFM;UN;QUN;UX;QUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;UM;QUM
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200216;13,1;v;8,8;v;15;v;12,3;v;9,9;v;48;v;88;v;0;t;11;t;60;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200217;13,3;v;4,4;v;8,5;v;6,8;v;5,4;v;73;v;97;v;0;t;1326;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200218;7,3;v;4,1;v;9,1;v;5,7;v;7;v;56;v;88;v;0;t;817;t;77;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200219;1,2;v;3,7;v;7,2;v;5,1;v;6,2;v;56;v;93;v;0;t;729;t;78;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200220;1,8;v;4,1;v;8,3;v;6,4;v;6,9;v;65;v;95;v;0;t;809;t;80;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200221;0;v;1,3;v;9,1;v;4,4;v;4,4;v;48;v;94;v;0;t;592;t;75;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200222;1,8;v;1,3;v;12,9;v;7,3;v;6,3;v;43;v;86;v;0;t;205;t;66;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200223;5;v;7,4;v;11,7;v;9,7;v;8,4;v;78;v;97;v;0;t;1243;t;86;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200224;1,8;v;8;v;14,9;v;9,9;v;6,3;v;61;v;98;v;0;t;899;t;84;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200225;9,8;v;5,6;v;8,2;v;5,8;v;7,3;v;72;v;96;v;0;t;1175;t;88;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200226;3,8;v;0,1;v;4,9;v;1,6;v;6,3;v;71;v;98;v;0;t;1332;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200227;6,4;v;0,5;v;8,7;v;2,1;v;7,9;v;79;v;96;v;0;t;1429;t;90;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200228;0,8;v;-1;v;8,5;v;4,8;v;6,1;v;45;v;93;v;0;t;511;t;68;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200229;7,3;v;6;v;13,8;v;8,2;v;9,1;v;57;v;95;v;0;t;671;t;77;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200301;5;v;4,6;v;11,9;v;6,4;v;9,1;v;52;v;96;v;0;t;746;t;79;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200302;12,5;v;0,7;v;6,5;v;4,9;v;4,1;v;79;v;96;v;0;t;1431;t;89;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200303;0;v;2;v;7,9;v;3,4;v;4,1;v;59;v;93;v;0;t;917;t;81;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200304;0,8;v;0,4;v;8,6;v;4,3;v;4,9;v;58;v;94;v;0;t;848;t;80;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200305;18,8;v;3,7;v;10,3;v;7;v;7,4;v;84;v;95;v;0;t;1440;t;91;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200306;0,8;v;3,4;v;5,1;v;4,3;v;6,6;v;79;v;95;v;0;t;1425;t;89;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200307;0;v;0,4;v;9,2;v;4,7;v;3,2;v;45;v;92;v;0;t;547;t;73;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200308;3,6;v;4,4;v;12,3;v;7,5;v;6,1;v;57;v;94;v;0;t;416;t;75;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200309;4;v;4,7;v;9,4;v;5,9;v;5,2;v;61;v;95;v;0;t;944;t;82;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200310;10,5;v;4,1;v;10,6;v;7,9;v;8,4;v;76;v;97;v;0;t;1241;t;93;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200311;0,6;v;10,3;v;15,4;v;12,3;v;7,3;v;62;v;97;v;0;t;803;t;83;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200312;3,8;v;7,1;v;12,9;v;9,4;v;6,7;v;65;v;95;v;0;t;1127;t;84;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200313;0;v;2,5;v;11,1;v;6;v;5;v;43;v;88;v;0;t;199;t;69;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200314;0;e;0,8;v;9,4;e;6;v;2,3;v;49;v;87;v;0;t;383;t;70;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200315;0;v;3,5;e;15,2;v;9,9;v;4,3;v;34;e;75;e;251;t;0;t;58;e
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200316;0;v;7;v;17,2;v;11,6;v;4;v;40;v;72;v;1;t;0;t;60;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200317;0;v;8,2;v;16,3;v;11,2;v;1,8;v;55;v;90;v;0;t;540;t;74;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200318;0;v;4,6;v;17;v;11,1;v;1,5;v;46;v;97;v;0;t;578;t;74;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200319;0;v;5;v;19;v;11,7;v;1,7;v;39;v;92;v;25;t;409;t;65;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200320;0;v;4,4;v;19;v;11,4;v;2,3;v;43;v;93;v;0;t;421;t;68;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200321;0,6;v;3;v;6,1;v;5;v;6,7;v;76;v;93;v;0;t;821;t;82;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200322;0;v;1,7;v;9,1;v;4,5;v;9,1;v;37;v;80;v;292;t;2;t;56;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200323;0;v;-1,6;v;8,7;v;3,1;v;6,7;v;24;v;59;v;708;t;0;t;41;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200324;0;v;-2;v;8,7;v;3,6;v;5,8;v;23;v;53;v;900;t;0;t;38;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200325;0;v;-0,7;v;9,2;v;4,3;v;6,1;v;19;v;48;v;986;t;0;t;35;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200326;0;v;-0,4;v;8,9;v;4,2;v;5,3;v;35;v;61;v;319;t;0;t;46;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200327;0;v;-1,2;v;13;v;6,6;v;2,3;v;39;v;78;v;138;t;0;t;56;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200328;0;v;1,5;v;17,6;v;10,3;v;3,2;v;32;v;83;v;454;t;118;t;54;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200329;0;v;2,9;v;6,9;v;4,2;v;7;v;44;v;76;v;0;t;0;t;62;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200330;0;v;-0,1;v;8;v;3,1;v;6,3;v;18;v;66;v;712;t;0;t;41;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200331;0;v;-3,5;v;9,8;v;3,8;v;4;v;33;v;79;v;323;t;0;t;52;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200401;0;v;-1,7;v;11,8;v;5,1;v;2,9;v;22;v;62;v;777;t;0;t;42;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200402;0;v;-1,7;v;13,4;v;5,7;v;2,4;v;25;v;77;v;553;t;0;t;49;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200403;0;v;0,4;v;11,6;v;6,1;v;2,5;v;41;v;87;v;0;t;41;t;67;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200404;0;v;0,1;v;15,1;v;8,8;v;3,2;v;35;v;96;v;465;t;411;t;57;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200405;0;v;3,7;v;20,7;v;12,8;v;3,1;v;24;v;73;v;660;t;0;t;45;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200406;0;v;7,6;v;21,6;v;14,9;v;4,1;v;23;v;59;v;731;t;0;t;39;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200407;0;v;7,7;v;23;v;16,5;v;2,9;v;18;v;77;v;897;t;0;t;41;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200408;0;v;8,1;v;24,2;v;16,4;v;1,9;v;23;v;67;v;650;t;0;t;42;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200409;0;v;8,8;v;23,4;v;16,5;v;2,1;v;21;v;63;v;817;t;0;t;40;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200410;0;v;8;v;23,4;v;16,4;v;2;v;23;v;79;v;596;t;0;t;47;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200411;0;v;7,4;v;23,7;v;16,1;v;1,6;v;24;v;84;v;584;t;148;t;50;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200412;0;v;10,7;v;23,6;v;15,9;v;2,3;v;21;v;71;v;373;t;0;t;51;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200413;0;v;9,6;v;19,8;v;12,1;v;4,5;v;35;v;65;v;159;t;0;t;52;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200414;0;v;0,6;v;11,9;v;6,3;v;4,6;v;28;v;64;v;577;t;0;t;45;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200415;0;v;1,3;v;19,3;v;10,5;v;2,8;v;23;v;64;v;724;t;0;t;42;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200416;0;v;8,1;v;22,9;v;16;v;4,1;v;29;v;65;v;566;t;0;t;47;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200417;0;v;9,7;v;23,2;v;17,1;v;3,4;v;26;v;77;v;571;t;0;t;49;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200418;0;v;12,6;v;22,3;v;16;v;2,9;v;41;v;89;v;0;t;144;t;60;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200419;0;v;7,3;v;22,1;v;15;v;3,6;v;40;v;98;v;1;t;500;t;68;v
54405001;NANCY-OCHEY;"5°57'35""E";"48°34'51""N";336;20200420;0;v;9,2;v;19;v;14,4;v;7,1;v;33;v;70;v;752;t;0;t;46;v
